Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2009/11/03,pho,mia,104,96,stoudam01,richaja01,nashst01,hillgr01,fryech01,dudleja01,amundlo01,dragigo01,richaqu01,wadedw01,hasleud01,chalmma01,onealje01,beaslmi01,wrighdo01,arroyca01,2352,2212,2205,2126,1590,1422,1324,675,2268,2259,2200,2043,1735,1393,930,837
2009/11/03,lal,okc,101,98,bynuman01,artesro01,bryanko01,odomla01,fishede01,poweljo01,brownsh01,farmajo01,duranke01,greenje02,sefolth01,thomaet01,westbru01,ollieke01,krstine01,hardeja01,2922,2814,2741,2577,2088,754,621,471,2698,2686,2161,2093,2047,1133,1087,1024
2009/11/03,bos,phi,105,74,allenra02,piercpa01,rondora01,daniema01,wallara01,garneke01,willish02,perkike01,youngth01,iguodan01,willilo02,brandel01,dalemsa01,speigma01,smithja02,holidjr01,1853,1840,1672,1662,1436,1398,1389,1208,2226,2148,1886,1658,1444,1433,904,775
2009/11/03,atl,por,97,91,johnsjo02,horfoal01,bibbymi01,smithjo03,crawfja01,willima02,pachuza01,smithjo02,roybr01,aldrila01,millean02,webstma02,blakest01,outlatr01,przybjo01,odengr01,2733,2143,2074,2059,2056,1781,826,380,2519,2397,1688,1631,1623,1397,1154,938
2009/11/04,mem,gsw,105,113,gasolma01,randoza01,gayru01,mayooj01,conlemi01,iversal01,carrode01,youngsa01,ellismo01,jacksst02,morroan01,maggeco01,curryst01,mooremi01,biedran01,azubuke01,2496,2287,2181,2132,1783,1653,742,603,2809,2256,2007,1797,1707,1290,1164,944
2009/11/04,lal,hou,103,102,bryanko01,bynuman01,artesro01,odomla01,fishede01,farmajo01,brownsh01,poweljo01,arizatr01,battish01,brookaa01,hayesch01,scolalu01,landrca01,lowryky01,anderda03,2909,2685,2591,2442,2043,933,787,707,2869,2812,2448,2255,2156,1542,1468,351
2009/11/04,bos,min,92,90,piercpa01,garneke01,rondora01,allenra02,perkike01,wallara01,daniema01,houseed01,breweco01,jeffeal01,gomesry01,pecheol01,flynnjo01,sessira01,holliry01,pavloal01,2484,2118,2093,1993,1917,1153,1052,796,2348,2169,2081,2050,1990,890,821,799
2009/11/04,den,njn,122,94,anthoca01,afflaar01,martike01,hilarne01,lawsoty01,billuch01,cartean01,anderch01,douglch01,leeco01,alstora01,boonejo01,lopezbr01,willite01,najered01,simmobo01,1915,1889,1880,1814,1669,1504,1350,1284,2137,1894,1783,1744,1738,1687,1437,1049
2009/11/04,dal,noh,107,114,kiddja01,terryja01,mariosh01,nowitdi01,dampier01,bareajo01,humphkr01,beaubro01,paulch01,westda01,okafoem01,brownbo02,petermo01,stojape01,wrighju01,songada01,2633,2369,2322,2236,2026,1707,1161,811,2722,2555,2439,1819,1746,1732,1065,971
2009/11/04,ind,nyk,101,89,rushbr01,jonesda02,grangda01,watsoea01,hibbero01,fordtj01,jonesso01,headlu01,duhonch01,leeda02,harrial01,chandwi01,hughela01,gallida01,jeffrja01,douglto01,2531,2302,2251,1758,1754,1659,1105,1040,2285,2144,2108,2066,1943,1775,1002,695
2009/11/04,pho,orl,100,122,stoudam01,dragigo01,dudleja01,amundlo01,nashst01,richaja01,fryech01,hillgr01,barnema02,redicjj01,pietrmi01,anderry01,gortama01,willija02,nelsoja01,howardw01,2048,1826,1398,1332,1326,1247,1136,1114,1920,1902,1595,1533,1480,1455,1425,1400
2009/11/04,atl,sac,113,105,johnsjo02,crawfja01,bibbymi01,horfoal01,willima02,smithjo03,evansma01,pachuza01,thompja02,martike02,evansty01,nocioan01,hawessp01,udrihbe01,casspom01,thomake01,2243,2040,2030,2008,1833,1742,882,872,2423,2401,2317,1936,1862,1448,895,457
2009/11/04,det,tor,99,110,gordobe01,stuckro01,bynumwi01,wallabe01,villach01,jerebjo01,dayeau01,wilcoch01,bargnan01,turkohe01,boshch01,caldejo01,jackja01,derozde01,johnsam01,wrighan01,2730,2150,1987,1739,1701,1529,1007,622,2357,2190,2074,1907,1876,1090,1036,1010
2009/11/04,mia,was,93,89,wadedw01,richaqu01,chalmma01,onealje01,hasleud01,beaslmi01,anthojo01,arroyca01,butleca01,arenagi01,haywobr01,blatcan01,stevede01,obertfa01,millemi01,foyera01,2555,2555,2140,1972,1918,1445,750,630,2691,2270,2156,1830,1388,1278,1169,1122
2009/11/05,chi,cle,86,85,denglu01,salmojo01,gibsota01,rosede01,noahjo01,hinriki01,millebr01,thomaty01,jamesle01,parkean01,varejan01,willima01,onealsh01,westde01,ilgauzy01,gibsoda01,2328,2226,2027,1953,1643,1475,1341,745,2293,2110,2086,1982,1872,1598,1269,991
2009/11/05,sas,uta,99,113,duncati01,parketo01,jefferi01,ginobma01,hillge01,mcdyean01,bonnema01,finlemi01,kirilan01,boozeca01,willide01,brewero02,okurme01,millspa01,matthwe02,pricero01,1812,1714,1644,1502,1361,1356,1028,1012,2236,2217,2188,1922,1705,1569,1495,692
2009/11/06,pho,bos,110,103,richaja01,fryech01,nashst01,stoudam01,dudleja01,hillgr01,amundlo01,dragigo01,piercpa01,rondora01,garneke01,allenra02,perkike01,wallara01,daniema01,willish02,2295,2239,2134,2005,1842,1468,1079,921,2493,2265,2090,1876,1480,1466,1381,706
